{input difference of the middle part, output mask of the middle part, correlation}

[0x3, 0x0, 0x0, 0x20000000, -10.397669400000002], 
[0x3, 0x0, 0x0, 0x40000000, -10.9091064], 
[0x3, 0x0, 0x0, 0x80000000, -10.4004388], 
[0x3, 0x0, 0x20, 0x0, -9.8970266], 
[0x3, 0x0, 0x40, 0x0, -10.087593000000002], 
[0x3, 0x0, 0x80, 0x0, -10.8220542], 
[0x3, 0x0, 0x2000, 0x0, -9.544985800000001], 
[0x3, 0x0, 0x4000, 0x0, -9.8766126], 
[0x3, 0x0, 0x8000, 0x0, -9.8663316], 
[0x3, 0x0, 0x80000, 0x0, -11.967644799999999], 
[0x5, 0x0, 0x0, 0x1, -9.335441], 
[0x5, 0x0, 0x0, 0x2, -9.1920434], 
[0x5, 0x0, 0x0, 0x4, -9.3452598], 
[0x5, 0x0, 0x0, 0x8, -9.707931599999998], 
[0x5, 0x0, 0x0, 0x100, -6.7250559999999995], 
[0x5, 0x0, 0x0, 0x200, -6.386384399999999], 
[0x5, 0x0, 0x0, 0x400, -6.6819852], 
